symbol,score,vol_score,price_score,market_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,pct_from_52w_high,above_ma200,summary
HXL,80,35,20,10,15,74.65,7189719040,Industrials,Aerospace & Defense,2.78,3,0,1.03,5.4,True,vol 2X spike (3d) | vol trend up | multiple spike events | above MA200
HII,80,35,20,10,15,340.91,12462705664,Industrials,Aerospace & Defense,3.15,1,1,0.95,5.1,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 5% from 52w high
RPM,80,40,15,10,15,104.02,12911308800,Basic Materials,Specialty Chemicals,5.04,1,1,1.1,18.2,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 18% from 52w high
PSX,80,30,25,10,15,128.5,68784406528,Energy,Oil & Gas Refining & Marketing,2.06,2,0,1.03,10.6,True,vol 2X spike (2d) | vol trend up | above MA200 | 11% from 52w high
MO,80,40,15,10,15,56.82,113752989696,Consumer Defensive,Tobacco,4.13,1,1,1.0,12.9,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 13% from 52w high
APD,80,40,15,10,15,245.48,65782104064,Basic Materials,Specialty Chemicals,3.12,6,1,1.14,25.7,False,vol 2X spike (6d) | vol 3X spike (1d) | vol trend up | multiple spike events
PATH,80,35,20,10,15,16.67,5653116928,Technology,Software - Infrastructure,4.1,1,1,0.87,16.0,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 16% from 52w high
ADP,80,40,15,10,15,257.4,85141397504,Technology,Software - Application,3.79,1,1,1.11,20.0,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 20% from 52w high
MCD,80,30,25,10,15,306.32,195921985536,Consumer Cyclical,Restaurants,2.3,1,0,1.04,4.3,True,vol 2X spike (1d) | vol trend up | above MA200 | 4% from 52w high
AEE,80,30,25,10,15,100.06,30174566400,Utilities,Utilities - Regulated Electric,2.68,2,0,1.05,4.9,True,vol 2X spike (2d) | vol trend up | above MA200 | 5% from 52w high
EWBC,80,35,20,10,15,112.55,16847014912,Financial Services,Banks - Regional,3.85,1,1,0.86,2.5,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 3% from 52w high
AGO,80,40,25,10,5,90.27,3366867200,Financial Services,Insurance - Specialty,4.39,2,1,1.09,5.3,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | above MA200
COR,80,35,20,10,15,339.46,50795999232,Healthcare,Medical Distribution,2.32,2,0,1.06,9.9,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
PSA,80,40,15,10,15,258.5,54601748480,Real Estate,REIT - Industrial,3.84,1,1,1.11,15.6,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 16% from 52w high
SRE,80,40,25,10,5,88.47,59832250368,Utilities,Utilities - Diversified,3.48,1,1,1.06,6.2,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
DINO,80,35,20,10,15,45.8,13057350656,Energy,Oil & Gas Refining & Marketing,2.22,2,0,1.16,17.5,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
BR,80,40,15,10,15,224.01,17290915840,Technology,Information Technology Services,3.61,1,1,1.03,16.5,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 16% from 52w high
CVX,80,30,25,10,15,150.83,361713958912,Energy,Oil & Gas Integrated,2.79,1,0,1.1,6.7,True,vol 2X spike (1d) | vol trend up | above MA200 | 7% from 52w high
LKQ,80,40,15,10,15,30.51,7360906752,Consumer Cyclical,Auto Parts,15.79,1,1,1.27,28.9,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 29% from 52w high
O,80,30,25,10,15,55.79,57739935744,Real Estate,REIT - Retail,2.45,1,0,1.06,5.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 5% from 52w high
NTAP,80,30,25,10,15,107.34,23371120640,Technology,Software - Infrastructure,2.45,1,0,1.07,14.0,True,vol 2X spike (1d) | vol trend up | above MA200 | 14% from 52w high
TJX,80,30,25,10,15,154.91,169587671040,Consumer Cyclical,Apparel Retail,2.6,4,0,1.11,1.6,True,vol 2X spike (4d) | vol trend up | above MA200 | 2% from 52w high
ADI,80,35,20,10,15,273.96,203346788352,Technology,Semiconductors,2.69,4,0,1.08,3.3,True,vol 2X spike (4d) | vol trend up | multiple spike events | above MA200
TSCO,80,40,15,10,15,50.14,16074380288,Consumer Cyclical,Specialty Retail,3.25,1,1,1.0,20.7,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 21% from 52w high
MLM,80,30,25,10,15,630.65,35449896960,Basic Materials,Building Materials,2.33,1,0,1.06,4.9,True,vol 2X spike (1d) | vol trend up | above MA200 | 5% from 52w high
DOX,80,40,15,10,15,80.03,6857651200,Technology,Software - Infrastructure,3.8,1,1,1.05,13.8,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 14% from 52w high
DLB,80,40,15,10,15,65.05,5500880384,Industrials,Specialty Business Services,3.28,2,1,1.13,25.7,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
WAT,80,35,20,10,15,383.99,34861510656,Healthcare,Diagnostics & Research,3.01,1,1,0.9,9.3,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 9% from 52w high
PRI,80,40,15,10,15,259.3,8561568768,Financial Services,Insurance - Life,5.54,1,1,1.13,11.4,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 11% from 52w high
MDLZ,80,40,15,10,15,53.84,79008645120,Consumer Defensive,Confectioners,3.27,2,1,1.11,22.3,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | 22% from 52w high
AWK,80,40,15,10,15,130.25,24419829760,Utilities,Utilities - Regulated Water,3.38,3,1,1.1,14.1,False,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | multiple spike events
SNOW,80,40,20,10,10,222.05,52701962240,Technology,Software - Application,4.68,3,1,1.12,20.9,True,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | above MA200
XYL,80,30,25,10,15,137.13,27032881152,Industrials,Specialty Industrial Machinery,2.58,1,0,1.06,10.6,True,vol 2X spike (1d) | vol trend up | above MA200 | 11% from 52w high
DIS,80,30,25,10,15,114.79,187577958400,Communication Services,Entertainment,2.21,1,0,1.08,7.3,True,vol 2X spike (1d) | vol trend up | above MA200 | 7% from 52w high
PEG,80,30,25,10,15,80.26,38435528704,Utilities,Utilities - Regulated Electric,2.31,1,0,1.01,9.9,True,vol 2X spike (1d) | vol trend up | above MA200 | 10% from 52w high
ED,80,40,15,10,15,99.11,39178391552,Utilities,Utilities - Regulated Electric,3.61,3,1,1.13,10.8,False,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | multiple spike events
MDB,80,40,20,10,10,421.23,24068261888,Technology,Software - Infrastructure,4.14,2,1,1.11,4.4,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | above MA200
L,80,30,25,10,15,106.13,21502846976,Financial Services,Insurance - Property & Casualty,2.07,1,0,1.11,2.6,True,vol 2X spike (1d) | vol trend up | above MA200 | 3% from 52w high
SCHW,80,30,25,10,15,99.85,155263369216,Financial Services,Capital Markets,2.58,1,0,1.03,1.7,True,vol 2X spike (1d) | vol trend up | above MA200 | 2% from 52w high
ALL,80,30,25,10,15,208.05,54869270528,Financial Services,Insurance - Property & Casualty,2.98,1,0,1.09,2.7,True,vol 2X spike (1d) | vol trend up | above MA200 | 3% from 52w high
BAC,80,30,25,10,15,54.97,364126076928,Financial Services,Banks - Diversified,2.43,2,0,1.01,2.2,True,vol 2X spike (2d) | vol trend up | above MA200 | 2% from 52w high
ROK,80,35,20,10,15,392.32,50506137600,Industrials,Specialty Industrial Machinery,2.55,2,0,1.05,5.3,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
MCK,80,30,25,10,15,826.64,88330805248,Healthcare,Medical Distribution,2.02,1,0,1.06,7.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 8% from 52w high
STX,80,35,20,10,15,279.59,175490580480,Technology,Computer Hardware,5.73,1,1,0.84,9.1,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 9% from 52w high
ZG,80,40,15,10,15,69.34,9595947008,Communication Services,Internet Content & Information,4.03,2,1,1.1,23.1,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | 23% from 52w high
AME,80,30,25,10,15,206.7,53266776064,Industrials,Specialty Industrial Machinery,2.88,1,0,1.03,1.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 1% from 52w high
EPAM,80,35,20,10,15,206.31,5184217088,Technology,Information Technology Services,2.33,2,0,1.02,23.3,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
NWSA,80,40,15,10,15,26.28,14786685952,Communication Services,Entertainment,3.6,1,1,1.01,16.5,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 17% from 52w high
PCG,80,30,25,10,15,15.98,35389751296,Utilities,Utilities - Regulated Electric,2.23,1,0,1.03,20.9,True,vol 2X spike (1d) | vol trend up | above MA200 | 21% from 52w high
CASY,80,30,25,10,15,560.69,31858657280,Consumer Cyclical,Specialty Retail,2.27,1,0,1.05,2.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 2% from 52w high
COST,80,40,15,10,15,863.22,447552225280,Consumer Defensive,Discount Stores,3.95,1,1,1.09,19.4,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 19% from 52w high
JNJ,80,30,25,10,15,205.82,532765245440,Healthcare,Drug Manufacturers - General,2.91,1,0,1.07,3.8,True,vol 2X spike (1d) | vol trend up | above MA200 | 4% from 52w high
DRI,80,40,15,10,15,182.18,22475202560,Consumer Cyclical,Restaurants,3.44,2,2,1.17,17.7,False,vol 2X spike (2d) | vol 3X spike (2d) | vol trend up | 18% from 52w high
